CODGEO,LIBGEO,AGEMEN700_TDM8100,AGEMEN700_TDM8200,AGEMEN700_TDM8310,AGEMEN700_TDM8300,AGEMEN700_TDM8410,AGEMEN700_TDM8420,AGEMEN700_TDM8500,AGEMEN720_TDM8100,AGEMEN720_TDM8200,AGEMEN720_TDM8310,AGEMEN720_TDM8300,AGEMEN720_TDM8410,AGEMEN720_TDM8420,AGEMEN720_TDM8500,AGEMEN725_TDM8100,AGEMEN725_TDM8200,AGEMEN725_TDM8310,AGEMEN725_TDM8300,AGEMEN725_TDM8410,AGEMEN725_TDM8420,AGEMEN725_TDM8500,AGEMEN740_TDM8100,AGEMEN740_TDM8200,AGEMEN740_TDM8310,AGEMEN740_TDM8300,AGEMEN740_TDM8410,AGEMEN740_TDM8420,AGEMEN740_TDM8500,AGEMEN755_TDM8100,AGEMEN755_TDM8200,AGEMEN755_TDM8310,AGEMEN755_TDM8300,AGEMEN755_TDM8410,AGEMEN755_TDM8420,AGEMEN755_TDM8500,AGEMEN765_TDM8100,AGEMEN765_TDM8200,AGEMEN765_TDM8310,AGEMEN765_TDM8300,AGEMEN765_TDM8410,AGEMEN765_TDM8420,AGEMEN765_TDM8500,AGEMEN780_TDM8100,AGEMEN780_TDM8200,AGEMEN780_TDM8310,AGEMEN780_TDM8300,AGEMEN780_TDM8410,AGEMEN780_TDM8420,AGEMEN780_TDM8500
35250,Saint-Armel,0,0,0,0,0,0,0,16,5,0,0,0,0,5,71,49,106,21,11,37,5,88,22,127,0,0,59,10,49,70,32,0,0,11,5,49,87,5,0,0,0,0,49,16,0,0,0,0,0
35266,Saint-Erblon,0,0,0,0,0,0,0,22,11,5,0,0,0,0,157,53,146,16,0,16,10,97,27,240,10,26,96,0,92,139,42,0,0,5,0,59,176,11,0,5,0,0,32,43,0,0,5,0,0
35275,Saint-Gilles,9,0,0,0,0,0,10,66,19,5,0,0,0,0,166,116,184,45,19,53,10,123,72,369,55,29,39,5,137,144,74,5,10,15,5,118,246,5,0,0,5,5,76,67,0,0,0,0,0
35278,Saint-Grégoire,32,0,0,0,0,0,5,164,41,0,0,0,0,5,323,243,254,10,26,72,35,275,114,630,48,41,117,0,206,321,235,10,10,10,0,307,512,20,0,0,0,0,100,171,5,0,0,16,0
35281,Saint-Jacques-de-la-Lande,69,0,0,0,3,0,18,295,93,4,0,7,21,92,974,481,396,42,29,248,139,633,161,545,85,72,286,21,443,229,137,11,27,60,13,416,295,25,8,0,4,5,197,131,8,3,3,4,3
35315,Saint-Sulpice-la-Forêt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,80,0,5,0,0,25,10,125,10,10,15,0,30,75,30,0,0,5,0,40,70,5,0,0,0,0,10,15,0,0,0,0,0
35334,Thorigné-Fouillard,11,0,0,0,0,5,0,58,26,0,0,5,0,5,287,156,367,20,26,72,26,213,93,493,40,46,128,10,175,291,145,10,36,16,0,218,420,20,0,0,0,5,128,62,0,0,0,0,0
35351,Le Verger,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,5,21,0,10,10,0,37,19,120,16,19,15,0,23,68,36,0,0,20,0,37,44,5,0,0,5,0,19,5,0,0,0,0,0
35352,Vern-sur-Seiche,0,5,0,0,0,5,0,102,15,0,0,5,0,10,224,93,233,24,10,65,15,214,93,529,43,36,122,0,246,402,143,0,26,20,5,256,428,30,0,5,0,0,144,72,5,0,0,0,5
35353,Vezin-le-Coquet,10,0,0,0,0,0,0,60,40,0,0,5,0,0,234,115,225,40,5,70,35,175,45,234,30,25,75,0,115,150,65,0,0,30,5,125,294,20,5,0,0,0,110,100,0,0,0,0,0
