Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Non-Exprimés;% Non-Exp/Ins;% Non-Exp/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Année;Numéro de tour;Métropole
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;951;619;65.09;332;34.91;15;1.58;4.52;317;33.33;95.48;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;677;451;66.62;226;33.38;20;2.95;8.85;206;30.43;91.15;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;794;573;72.17;221;27.83;7;0.88;3.17;214;26.95;96.83;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;827;557;67.35;270;32.65;14;1.69;5.19;256;30.96;94.81;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1046;747;71.41;299;28.59;24;2.29;8.03;275;26.29;91.97;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;1002;834;83.23;168;16.77;6;0.6;3.57;162;16.17;96.43;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;890;721;81.01;169;18.99;11;1.24;6.51;158;17.75;93.49;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;902;651;72.17;251;27.83;28;3.1;11.16;223;24.72;88.84;2020;1;Rouen
76;Seine-Maritime;575;Saint-Etienne-du-Rouvray;705;485;68.79;220;31.21;10;1.42;4.55;210;29.79;95.45;2020;1;Rouen
76;Seine-Maritime;591;Saint-Jacques-sur-Darnétal;1073;472;43.99;601;56.01;5;0.47;0.83;596;55.55;99.17;2020;1;Rouen
76;Seine-Maritime;591;Saint-Jacques-sur-Darnétal;1096;455;41.51;641;58.49;14;1.28;2.18;627;57.21;97.82;2020;1;Rouen
